admonisher.n.01	admonisher
airplane.n.01	airplane
apple.n.01	apple
ashcan.n.01	ashcan
backpack.n.01	backpack
bag.n.01	bag
bag.n.04	bag
bag.n.06	bag
baggage.n.01	baggage
ball.n.01	ball
ball.n.03	ball
banana.n.01	banana
banana.n.02	banana
baseball_bat.n.01	baseball_bat
baseball_glove.n.01	baseball_glove
basket.n.01	basket
bear.n.01	bear
bed.n.01	bed
beer.n.01	beer
bench.n.01	bench
bicycle.n.01	bicycle
bird.n.01	bird
bloomers.n.01	bloomers
boat.n.01	boat
book.n.01	book
bottle.n.01	bottle
bowl.n.01	bowl
box.n.01	box
broccoli.n.01	broccoli
building.n.01	building
bus.n.01	bus
bush.n.02	bush
cabinet.n.01	cabinet
cake.n.01	cake
cake.n.03	cake
camera.n.01	camera
can.n.01	can
car.n.01	car
carrot.n.01	carrot
cart.n.01	cart
cat.n.01	cat
cell_phone	cell_phone
cellular_telephone.n.01	cellular_telephone
chair.n.01	chair
clock.n.01	clock
coat.n.01	coat
coat.n.03	coat
computer.n.01	computer
cone.n.01	cone
counter.n.01	counter
cow.n.01	cow
cow.n.02	cow
cup.n.01	cup
desk.n.01	desk
dining_table.n.01	dining_table
dog.n.01	dog
doughnut.n.02	doughnut
elephant.n.01	elephant
engine.n.01	engine
face.n.01	face
face.n.07	face
faucet.n.01	faucet
fireplug.n.01	fireplug
fork.n.01	fork
frisbee.n.01	frisbee
giraffe.n.01	giraffe
glass.n.01	glass
glass.n.02	glass
grass.n.01	grass
gun.n.01	gun
hand.n.01	hand
hand.n.08	hand
hand_blower.n.01	hand_blower
handcart.n.01	handcart
hat.n.01	hat
helmet.n.01	helmet
helmet.n.02	helmet
horse.n.01	horse
hotdog.n.02	hotdog
hydrant	hydrant
hydrant.n.02	hydrant
jacket.n.01	jacket
jean.n.01	jean
keyboard.n.01	keyboard
kite.n.01	kite
kite.n.02	kite
kite.n.03	kite
knife.n.01	knife
lamp.n.01	lamp
lamp.n.02	lamp
laptop.n.01	laptop
manner.n.01	manner
microwave.n.01	microwave
monitor.n.04	monitor
monitor.n.05	monitor
motorcycle.n.01	motorcycle
mountain.n.01	mountain
mouse.n.01	mouse
mouse.n.04	mouse
necktie.n.01	necktie
orange.n.01	orange
oven.n.01	oven
paper.n.01	paper
parking_meter.n.01	parking_meter
person.n.01	person
person.n.02	person
pillow.n.01	pillow
pizza.n.01	pizza
plant.n.01	plant
plant.n.02	plant
plate.n.02	plate
plate.n.03	plate
plate.n.04	plate
post.n.01	post
post.n.04	post
pot.n.01	pot
pot.n.04	pot
potted.a.01	potted
potted_plant	potted_plant
president.n.04	president
proctor.n.01	proctor
ramp.n.01	ramp
refrigerator.n.01	refrigerator
remote_control.n.01	remote_control
road.n.01	road
roof.n.01	roof
roof.n.02	roof
sand.n.01	sand
sandwich.n.01	sandwich
scissors.n.01	scissors
sheep.n.01	sheep
shelf.n.01	shelf
shirt.n.01	shirt
shoe.n.01	shoe
short_pants.n.01	short_pants
shrub.n.01	shrub
side.n.04	side
sink.n.01	sink
skateboard.n.01	skateboard
ski.n.01	ski
sky.n.01	sky
snowboard.n.01	snowboard
sofa.n.01	sofa
spectacles.n.01	spectacles
spoon.n.01	spoon
sport.n.01	sport
sports_ball	sports_ball
stop_sign	stop_sign
stove.n.01	stove
street.n.01	street
street.n.02	street
street.n.03	street
sunglasses.n.01	sunglasses
surfboard.n.01	surfboard
table.n.01	table
table.n.02	table
table.n.03	table
teddy.n.01	teddy
telephone.n.01	telephone
television.n.01	television
tennis_racket.n.01	tennis_racket
tie.n.04	tie
toaster.n.01	toaster
toaster.n.02	toaster
toilet.n.01	toilet
toilet.n.02	toilet
toothbrush.n.01	toothbrush
tower.n.01	tower
traffic_light.n.01	traffic_light
train.n.01	train
tree.n.01	tree
trouser.n.01	trouser
truck.n.01	truck
umbrella.n.01	umbrella
van.n.05	van
vase.n.01	vase
watch.n.01	watch
wheel.n.01	wheel
wheel.n.03	wheel
wine.n.01	wine
zebra.n.01	zebra
