admonisher.n.01	restrain.v.03	person.n.01	restrain.v.03	person.n.01	restrain.v.03	admonisher.n.01	hold.v.22	bag.n.01
airplane.n.01	fly.v.01	road.n.01	fly.v.01	airplane.n.01	drive.v.01	truck.n.01	ride.v.01	bicycle.n.01
airplane.n.01	fly.v.01	sky.n.01	fly.v.01	airplane.n.01	look.v.01	sky.n.01	play.v.01	kite.n.01
airplane.n.01	have.v.01	engine.n.01	produce.v.02	broccoli.n.01	wear.v.05	necktie.n.01	drive.v.01	train.n.01
airplane.n.01	have.v.01	wheel.n.01	have.v.01	wheel.n.01	have.v.01	train.n.01	have.v.01	chair.n.01
airplane.n.01	have.v.02	wheel.n.01	have.v.02	airplane.n.01	have.v.02	wheel.n.01	produce.v.02	broccoli.n.01
airplane.n.01	park.v.01	street.n.01	park.v.01	sport.n.01	park.v.01	chair.n.01	park.v.01	bicycle.n.01
airplane.n.01	park.v.02	grass.n.01	park.v.02	truck.n.01	park.v.02	bicycle.n.01	park.v.02	car.n.01
airplane.n.01	tall.a.01	truck.n.01	tall.a.01	tower.n.01	drive.v.01	truck.n.01	wear.v.02	necktie.n.01
ashcan.n.01	have.v.02	bag.n.01	have.v.02	bag.n.01	have.v.02	backpack.n.01	have.v.02	bowl.n.01
ashcan.n.01	touch.v.01	refrigerator.n.01	touch.v.01	refrigerator.n.01	touch.v.01	ashcan.n.01	rest.v.01	chair.n.01
bag.n.01	against	shelf.n.01	against	shelf.n.01	lean_on.v.01	bag.n.01
bag.n.01	attach.v.02	table.n.02	attach.v.02	bag.n.01	attach.v.02	table.n.02	attach.v.02	chair.n.01
bag.n.01	lie.v.01	person.n.01	lie.v.01	chair.n.01	lie.v.01	table.n.01	lie.v.01	bed.n.01
bag.n.06	have.v.01	wheel.n.01	have.v.01	bag.n.01	own.v.01	wheel.n.03	carry.v.26	sports_ball
bag.n.06	hold.v.11	shirt.n.01	hold.v.11	bag.n.01	wear.v.05	shirt.n.01	contain.v.05	bowl.n.01
baggage.n.01	have.v.01	bag.n.01	have.v.01	bag.n.01	contain.v.05	baggage.n.01	carry.v.02	bag.n.04
baggage.n.01	have.v.01	wheel.n.01	have.v.01	bag.n.01	attach.v.01	wheel.n.01
basket.n.01	attach.v.02	bicycle.n.01	attach.v.02	bicycle.n.01	attach.v.02	basket.n.01	carry.v.02	basket.n.01
basket.n.01	contain.v.05	dog.n.01	contain.v.05	bowl.n.01	contain.v.05	bag.n.01	contain.v.05	vase.n.01
